p180,1069,65334
p181,1087,65842
p182,1091,65881
p183,1093,65886
p184,1097,66182
p185,1103,66215
p186,1109,66364
p187,1117,66616
p188,1123,66688
p189,1129,66708
p190,1151,66764
p191,1153,66800
p192,1163,66908
p193,1171,68031
p194,1181,68477
p195,1187,68671
p196,1193,68672
p197,1201,68674
p198,1213,68878
p199,1217,69016
p200,1223,69136
p201,1229,69365
p202,1231,69374
p203,1237,69610
p204,1249,69924
p205,1259,70677
p206,1277,70824
p207,1279,70834
p208,1283,70947
p209,1289,71042
p210,1291,71064
p211,1297,78435
p212,1301,78451
p213,1303,78533
p214,1307,78692
p215,1319,78802
p216,1321,78861
p217,1327,78865
p218,1361,79005
p219,1367,100665
p220,1373,101003
p221,1381,101951
p222,1399,102368
p2,3,1
p3,5,2
p4,7,17
p5,11,112
p6,13,121
p7,17,1124
p8,19,1139
p9,23,1169
p10,29,1213
p11,31,1233
p12,37,1238
p13,41,1857
p14,43,1894
p15,47,1997
p16,53,2272
p17,59,2474
p18,61,2490
p19,67,2512
p20,71,3427
p21,73,3492
p22,79,4016
p23,83,4263
p24,89,4274
p25,97,4676
p26,101,5012
p27,103,5023
p28,107,5312
p29,109,5359
p30,113,5381
p31,127,5387
p32,131,5471
p33,137,5619
p34,139,5656
p35,149,6216
p36,151,6420
p37,157,6769
p38,163,6854
p39,167,7220
p40,173,7270
p2,3,1
p3,5,3
p4,7,9
p5,11,218
p6,13,230
p7,17,403
p8,19,445
p9,23,788
p10,29,824
p11,31,853
p12,37,1373
p13,41,1664
p14,43,1706
p15,47,1778
p16,53,2221
p17,59,2355
p18,61,2406
p19,67,2664
p2,3,1
p3,5,12
p4,7,74
p5,11,377
p6,13,398
p7,17,573
p8,19,587
p9,23,885
p10,29,1017
p11,31,1083
p12,37,1200
p13,41,1445
p14,43,1481
p15,47,1697
p16,53,2248
p17,59,2331
p18,61,2377
p19,67,2423
p20,71,2486
p21,73,2508
p22,79,2570
p23,83,2605
p24,89,2667
p25,97,3352
p26,101,3355
p27,103,3357
p28,107,3447
p29,109,3486
p30,113,3772
p31,127,6904
p32,131,7064
p33,137,7324
p34,139,7364
p35,149,7835
p36,151,7854
p37,157,8080
p38,163,8164
p39,167,8283
p40,173,8304
p41,179,8508
p42,181,8528
p43,191,9124
p44,193,9127
p45,197,9132
p46,199,9253
p47,211,9941
p48,223,10170
p49,227,10396
p50,229,10458
p51,233,10596
p52,239,11166
p53,241,11175
p54,251,11850
p55,257,12095
p56,263,12104
p57,269,12243
p58,271,12293
p59,277,12647
p60,281,13167
p61,283,13232
p62,293,14344
p63,307,15820
p64,311,15957
p65,313,16107
p66,317,16359
p67,331,17573
p68,337,17613
p69,347,19319
